,STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,E_COMMODITY,YEAR,MONTH
0,-,894939835,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
1,AL,2654076,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
2,CA,2688654,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
3,CO,78170,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
4,FL,390086,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
5,GA,50187811,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
6,HI,130711,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
7,IA,28020546,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
8,IL,43197964,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
9,IN,8494208,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
10,KS,8758775,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
11,KY,10582482,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
12,LA,88817054,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
13,MA,260000,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
14,MI,1274295,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
15,MN,54353218,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
16,MO,472230,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
17,NE,2394806,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
18,NJ,90015,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
19,NV,955351,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
20,NY,3946968,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
21,OH,2702778,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
22,OK,85410,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
23,OR,3944,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
24,PA,5996,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
25,PR,6555,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
26,SC,5511869,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
27,SD,11442033,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
28,TX,468513,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
29,VA,10283914,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
30,VT,397736,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
31,WA,548493549,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
32,WI,7692920,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
33,XX,97198,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
